English,Infinitive,Present tense,Past tense,Past participle,Ending,A2
burn,å svi,svir,"sved, svei, *svidde",har svidd,,
"defraud, deceive",å svike,sviker,"svek, sveik",har sveket,,
swing,å svinge,svinger,svang,"har svunget, svingt, svinget",,
fade,å svinne,svinner,svant,har svunnet,,
swim,å svømme,svømmer,svømte,har svømt,,
"sew, make",å sy,syr,sydde,har sydd,,
"cycle, ",å sykle,sykler,syklet,har syklet,,
"seem, think, be visible",å synes,synes / syns,syntes,har synes / har syns,,
sing,å synge,synger,sang,har sunget,,
sink,å synke,synker,sank,har sunket,,
take,å ta,tar,tok,har tatt,,Y
thank,å takke,takker,takket,har takket,,
lose,å tape,taper,tapte,har tapt,,
"tap, draw",å tappe,tapper,tappet,har tappet,,
count,å telle,teller,talte,har talt,,Y
"think, intend",å tenke,tenker,tenkte,har tenkt,te,
"light, ignite",å tenne,tenner,tente,har tent,,
beg,å tigge,tigger,"tagg, *tigga, *tigget, *tigde","har tigget, tigga, tigd",,
offer,å tilby,tilbyr,tilbød,har tilbudt,,
earn,å tjene,tjener,tjente,har tjent,,
dare,"å tore, tørre",tør,"torde, turte","har tort, turt",,
dry,å tørke,tørker,tørket,har tørket,,
torture,å torturere,torturerer,torturerte,har torturert,,
believe,å trå,trår,"tro, *trådde",har trådd,,
"tread, step",å tre,trer,trådte,har trådt,,
meet/hit,å treffe,treffer,traff,har truffet,,Y
pull,å trekke,trekker,trakk,har trukket,,Y
"train, work out",å trene,trener,trente,har trent,,
need,å trenge,trenger,trengte,har trengt,te,
"catch up, grab",å trive,triver,treiv,har trevet,,
"enjoy, thrive",å trives,trives,trivdes,har trives / har trivs,,
believe,å tro,tror,trodde,har trodd,dde,
to print,å trykke,trykker,trykket,har trykket,et,
to joke ,å tulle,tuller,tullet,har tullet,et,
"force, compel",å tvinge,tvinger,tvang,har tvunget,,
sign,å underskrive,underskriver,underskrev,har underskrevet,,
examine,å undersøke,undersøker,undersøkte,har undersøkt,,
excuse,å unnskylde,unnskylder,unnskyldte,har unnskyldt,,
"prepare, work out",å utarbeide,utarbeider,utarbeidet,har utarbeidet,,
"export, perform",å utføre,utfører,utførte,har utført,,
"hanging down, down",å utslå,utslår,utslo,har utslått,,
"be, exist",å være,er,var,har vært,,Y
"wake, awaken",å våkne,våkner,våknet,har våknet,et,
warm,å varme,varmer,varmet,har varmet,,
wash,å vaske,vasker,vasket,har vasket,et,
weigh,å veie,veier,veide,har veid,,
wake,å vekke,vekker,vakte,har vakt,,
choose,å velge,velger,valgte,har valgt,,
"wait, expect",å vente,venter,ventet,har ventet,et,
"preserve, defend",å verne,verner,vernet,har vernet,,
yield,å vike,viker,"vek, veik",har veket,,
"want to, will",å ville,vil,ville,har villet,,Y
wave,å vinke,vinker,vinket,har vinket,,
win,å vinne,vinner,vant,har vunnet,,
show,å vise,viser,viste,har vist,te,
know,å vite,vet,visste,har visst,,Y
"grow, increase",å vokse,vokser,vokste,har vokst,,
rape,å voldta,voldtar,voldtok,har voldtatt,,
twist,å vri,vrir,vred,har vridd,,
