Date,Verb,C1,Infinitive,C2,PresentTense,C3,PastTense,C4,PastParticiple,Ending,Irregular,Percent,
08/01/2021 00:00,use,,å bruke,,bruker,,brukte,,har brukte,te,,75,
08/01/2021 00:00,"violate, break",,å bråke,,bryter,,bryttet,,har bratt,,Y,25,
08/01/2021 00:00,should,,å bli,,burder,,bør,,har burdet,,Y,25,
08/01/2021 00:00,to cover,,å b,,dekker,,dekkte,,har dekket,et,,50,
08/01/2021 00:00,die,,å dø,,dør,,dodde,,har død,de,,50,
08/01/2021 00:00,go/travel,,å ferie,,drar,,drukt,,har drukt,,Y,25,
08/01/2021 00:00,drink,,å drikke,,drikker,,drikkte,,har drukk,,Y,50,
08/01/2021 00:00,"operate, run",,å drive,,driver,,drøvte,,har drøvte,,Y,50,
08/01/2021 00:00,shower,,å dusje,,dusjer,,dusjte,,har dusjet,et,,75,
08/01/2021 00:00,get/receive,,å fa,,får,,fatt,,har fatt,,Y,25,
08/01/2021 00:00,find,,å finne,,finner,,finte,,har funt,,Y,50,
08/01/2021 00:00,"be, feel",,å føle,,føler seg,,følte,,har følte seg,te,,25,
08/01/2021 00:00,prefer,,å choice,,fortrekker,,fortrakk,,har fortrakk,,Y,0,
08/01/2021 00:00,explain,,å d,,forklarer,,foklarte,,har forklart,te,,50,
08/01/2021 00:00,understand,,å forstorre,,forstår,,forstør,,har forstudd,,Y,25,
08/01/2021 00:00,disappear,,å d,,forsvinner,,forsvinn,,har forsvant,,Y,25,
08/01/2021 00:00,"tell, explain",,å fortelle,,forteller,,fortelte,,har forte,,Y,50,
08/01/2021 00:00,continue,,å f,,fortsetter,,forsatt,,v,,Y,25,
08/01/2021 00:00,"go, walk",,å go,,går,,gikk,,har gjort,,Y,50,
08/01/2021 00:00,give,,å gå,,gir,,gikk,,gått,,Y,25,
08/01/2021 00:00,marry,,å gifte seg,,gifter,,giftet,,har giftet,et,,75,
08/01/2021 00:00,to hide,,å h,,gjemmer,,gjemte,,har gjemte,te,,50,
08/01/2021 00:00,repeat,,å g,,gjenter,,gjenate,,har gjentakk,,Y,0,
08/01/2021 00:00,do,,å g,,gjå,,gikk,,har gjordet,,Y,0,
